State_Code,District,Type,Status,Count
UP,Kanpur Dehat,delta,vaccinated2,85
UP,Kanpur Dehat,delta7,vaccinated1,27985
UP,Kanpur Dehat,delta7,vaccinated2,38783
UP,Kanpur Dehat,meta,population,1795092
UP,Kanpur Dehat,total,confirmed,6197
UP,Kanpur Dehat,total,deceased,110
UP,Kanpur Dehat,total,recovered,6087
UP,Kanpur Dehat,total,tested,344697
UP,Kanpur Dehat,total,vaccinated1,923661
UP,Kanpur Dehat,total,vaccinated2,290898
UP,Kanpur Nagar,delta,vaccinated1,38
UP,Kanpur Nagar,delta,vaccinated2,96
UP,Kanpur Nagar,delta7,confirmed,3
UP,Kanpur Nagar,delta7,recovered,1
UP,Kanpur Nagar,delta7,vaccinated1,64788
UP,Kanpur Nagar,delta7,vaccinated2,66517
UP,Kanpur Nagar,meta,population,4572951
UP,Kanpur Nagar,total,confirmed,82933
UP,Kanpur Nagar,total,deceased,1905
UP,Kanpur Nagar,total,recovered,81024
UP,Kanpur Nagar,total,tested,685820
UP,Kanpur Nagar,total,vaccinated1,2251558
UP,Kanpur Nagar,total,vaccinated2,859280
UP,Kasganj,delta,vaccinated1,51
UP,Kasganj,delta,vaccinated2,29
UP,Kasganj,delta7,vaccinated1,8148
UP,Kasganj,delta7,vaccinated2,13675
UP,Kasganj,meta,population,1438156
UP,Kasganj,total,confirmed,4250
UP,Kasganj,total,deceased,53
UP,Kasganj,total,recovered,4197
UP,Kasganj,total,tested,271969
UP,Kasganj,total,vaccinated1,608818
UP,Kasganj,total,vaccinated2,147948
UP,Kaushambi,delta,vaccinated1,94
UP,Kaushambi,delta,vaccinated2,35
UP,Kaushambi,delta7,confirmed,1
UP,Kaushambi,delta7,vaccinated1,38263
UP,Kaushambi,delta7,vaccinated2,28403
UP,Kaushambi,meta,population,1596909
UP,Kaushambi,total,confirmed,4424
UP,Kaushambi,total,deceased,70
UP,Kaushambi,total,recovered,4353
UP,Kaushambi,total,tested,207064
UP,Kaushambi,total,vaccinated1,760960
UP,Kaushambi,total,vaccinated2,218775
UP,Kushinagar,delta,vaccinated1,211
UP,Kushinagar,delta,vaccinated2,585
